Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,0.3298968970775604,1.4702355861663818,0.36734694242477417,1.5454418659210205
2,0.3659793734550476,1.477095127105713,0.3469387888908386,1.559635877609253
3,0.34536081552505493,1.5120304822921753,0.36734694242477417,1.5084787607192993
4,0.34536081552505493,1.5108486413955688,0.4285714328289032,1.4805760383605957
5,0.32474225759506226,1.466457724571228,0.3265306055545807,1.6173242330551147
6,0.32474225759506226,1.5064711570739746,0.4285714328289032,1.5005278587341309
7,0.36082473397254944,1.4804859161376953,0.3877550959587097,1.4882292747497559
8,0.36082473397254944,1.446089267730713,0.30612245202064514,1.5773311853408813
9,0.30927833914756775,1.4866403341293335,0.3265306055545807,1.5849329233169556
10,0.3505154550075531,1.4772422313690186,0.36734694242477417,1.5191537141799927
11,0.34536081552505493,1.4647260904312134,0.36734694242477417,1.5545053482055664
12,0.3350515365600586,1.4587013721466064,0.3877550959587097,1.5086034536361694
13,0.3144329786300659,1.4440186023712158,0.2857142984867096,1.6124368906021118
14,0.35567009449005127,1.469088077545166,0.3469387888908386,1.5945799350738525
15,0.3814432919025421,1.4309377670288086,0.3877550959587097,1.5298967361450195
16,0.32474225759506226,1.4914075136184692,0.36734694242477417,1.5068365335464478
17,0.3865979313850403,1.429211139678955,0.3265306055545807,1.568314790725708
18,0.35567009449005127,1.4525973796844482,0.40816327929496765,1.526650071144104
19,0.34536081552505493,1.4412974119186401,0.4285714328289032,1.5092054605484009
20,0.3711340129375458,1.4407157897949219,0.3877550959587097,1.5583744049072266
21,0.29381442070007324,1.5254069566726685,0.3469387888908386,1.5958001613616943
22,0.30927833914756775,1.4896386861801147,0.3877550959587097,1.5290318727493286
23,0.3659793734550476,1.452039122581482,0.36734694242477417,1.5299872159957886
24,0.3659793734550476,1.451862096786499,0.36734694242477417,1.5729008913040161
25,0.3298968970775604,1.434648036956787,0.3265306055545807,1.5236622095108032
26,0.3505154550075531,1.464107871055603,0.3469387888908386,1.5903743505477905
27,0.3711340129375458,1.4736475944519043,0.3469387888908386,1.5869618654251099
28,0.3041236996650696,1.4395147562026978,0.36734694242477417,1.510257601737976
29,0.3350515365600586,1.5056884288787842,0.40816327929496765,1.5394048690795898
30,0.34020617604255676,1.4575378894805908,0.3877550959587097,1.5991472005844116
31,0.30927833914756775,1.4816954135894775,0.3469387888908386,1.5778708457946777
32,0.2989690601825714,1.492682695388794,0.40816327929496765,1.5423122644424438
33,0.36082473397254944,1.4411650896072388,0.36734694242477417,1.5359135866165161
34,0.3505154550075531,1.4387309551239014,0.3469387888908386,1.5682668685913086
35,0.35567009449005127,1.446508526802063,0.3265306055545807,1.5791101455688477
36,0.35567009449005127,1.4725873470306396,0.3469387888908386,1.5838515758514404
37,0.3144329786300659,1.4563459157943726,0.40816327929496765,1.5274549722671509
38,0.37628865242004395,1.4804991483688354,0.40816327929496765,1.5769398212432861
39,0.3350515365600586,1.465615153312683,0.4285714328289032,1.5395504236221313
40,0.3298968970775604,1.4755228757858276,0.4693877696990967,1.5127782821655273
41,0.3505154550075531,1.4560532569885254,0.3265306055545807,1.5437830686569214
42,0.3298968970775604,1.4591550827026367,0.2857142984867096,1.6294788122177124
43,0.3711340129375458,1.4338643550872803,0.3877550959587097,1.5276861190795898
44,0.39175257086753845,1.444283366203308,0.3469387888908386,1.5710225105285645
45,0.3195876181125641,1.4296081066131592,0.36734694242477417,1.553794503211975
46,0.3505154550075531,1.4644535779953003,0.36734694242477417,1.5267599821090698
47,0.40721648931503296,1.431212067604065,0.3265306055545807,1.588096261024475
48,0.42268040776252747,1.437355399131775,0.3469387888908386,1.5107529163360596
49,0.36082473397254944,1.4649938344955444,0.3265306055545807,1.5208073854446411
50,0.39175257086753845,1.429265022277832,0.4285714328289032,1.5040868520736694
