Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,0.3298968970775604,1.5102862119674683,0.3469387888908386,1.5315537452697754
2,0.30927833914756775,1.508213996887207,0.26530611515045166,1.6491683721542358
3,0.3195876181125641,1.5020211935043335,0.36734694242477417,1.5211735963821411
4,0.3505154550075531,1.4912117719650269,0.4285714328289032,1.490334153175354
5,0.32474225759506226,1.4980725049972534,0.3877550959587097,1.5745407342910767
6,0.3195876181125641,1.5321383476257324,0.2448979616165161,1.6005245447158813
7,0.34536081552505493,1.488014578819275,0.40816327929496765,1.490169882774353
8,0.34020617604255676,1.479315161705017,0.3469387888908386,1.5250238180160522
9,0.3505154550075531,1.494933009147644,0.18367347121238708,1.7506427764892578
10,0.3041236996650696,1.5250712633132935,0.3469387888908386,1.5338647365570068
11,0.34536081552505493,1.466463327407837,0.36734694242477417,1.4843257665634155
12,0.3195876181125641,1.5213440656661987,0.26530611515045166,1.5884318351745605
13,0.3350515365600586,1.4974390268325806,0.1428571492433548,1.6278209686279297
14,0.2989690601825714,1.488791584968567,0.36734694242477417,1.4777566194534302
15,0.3195876181125641,1.5040574073791504,0.3265306055545807,1.5613480806350708
16,0.3298968970775604,1.5005398988723755,0.2857142984867096,1.544696569442749
17,0.3298968970775604,1.4665669202804565,0.2857142984867096,1.569725513458252
18,0.36082473397254944,1.4698874950408936,0.26530611515045166,1.5968525409698486
19,0.3814432919025421,1.4723310470581055,0.30612245202064514,1.5382699966430664
20,0.3711340129375458,1.4443769454956055,0.3469387888908386,1.553013563156128
21,0.34536081552505493,1.4697847366333008,0.26530611515045166,1.635586142539978
22,0.36082473397254944,1.4482412338256836,0.3877550959587097,1.4885197877883911
23,0.3144329786300659,1.5070219039916992,0.30612245202064514,1.5112236738204956
24,0.3298968970775604,1.496112585067749,0.36734694242477417,1.5432168245315552
25,0.3195876181125641,1.4795562028884888,0.22448979318141937,1.6507816314697266
26,0.30927833914756775,1.4671719074249268,0.3877550959587097,1.5058684349060059
27,0.32474225759506226,1.4757907390594482,0.36734694242477417,1.511497139930725
28,0.32474225759506226,1.4816317558288574,0.3469387888908386,1.5660241842269897
29,0.29381442070007324,1.4841376543045044,0.20408163964748383,1.6367114782333374
30,0.3350515365600586,1.4495418071746826,0.40816327929496765,1.5139814615249634
31,0.30927833914756775,1.4707388877868652,0.3265306055545807,1.5302480459213257
32,0.3298968970775604,1.4814890623092651,0.36734694242477417,1.5189757347106934
33,0.3298968970775604,1.490334153175354,0.36734694242477417,1.6363880634307861
34,0.36082473397254944,1.4806517362594604,0.36734694242477417,1.5171868801116943
35,0.32474225759506226,1.4565985202789307,0.3469387888908386,1.5223612785339355
36,0.35567009449005127,1.4635324478149414,0.2857142984867096,1.543140172958374
37,0.35567009449005127,1.457127332687378,0.26530611515045166,1.610352635383606
38,0.3814432919025421,1.4493966102600098,0.18367347121238708,1.6343165636062622
39,0.3041236996650696,1.5028620958328247,0.3469387888908386,1.5299999713897705
40,0.34020617604255676,1.4557855129241943,0.36734694242477417,1.512926697731018
41,0.3298968970775604,1.4636244773864746,0.22448979318141937,1.6000534296035767
42,0.32474225759506226,1.4755862951278687,0.2857142984867096,1.5825694799423218
43,0.35567009449005127,1.4366120100021362,0.30612245202064514,1.5677249431610107
44,0.3711340129375458,1.433569312095642,0.3469387888908386,1.5536590814590454
45,0.4020618498325348,1.448961853981018,0.3265306055545807,1.5927497148513794
46,0.3969072103500366,1.4473950862884521,0.3877550959587097,1.5188047885894775
47,0.3659793734550476,1.4436414241790771,0.16326530277729034,1.6436712741851807
48,0.34020617604255676,1.4676566123962402,0.2857142984867096,1.5784597396850586
49,0.34536081552505493,1.450148582458496,0.2448979616165161,1.6090474128723145
50,0.3195876181125641,1.4527628421783447,0.26530611515045166,1.5920222997665405
